grape,colour,known_also_as
UCELUT,B,
QUAGLIANO,N,
BOSCHERA,B,
CORVINONE,N,
MARZEMINA BIANCA,B,MARZEMINA
PELAVERGA PICCOLO,N,
PERERA,B,
TREBBIANO ABRUZZESE,B,
MALBO GENTILE,N,
PEDEVENDA,B,
PETIT VERDOT,N,
CARMENERE,N,"CABERNET NOSTRANO, CABERNET ITALIANO, CABERNET"
VERDESE,B,
ERVI,N,
MELARA,B,
SANTA MARIA,B,
REGINA,B,
REGINA DEI VIGNETI,B,
ZIBIBBO,B,"MOSCATO D ALESSANDRIA, DURACA, MOSCATO, MOSCATELLO, MOSCATELLONE"
TANNAT,N,
TEMPRANILLO,N,
VIOGNIER,B,
ABRUSCO,N,
BONDA,N,
CROVASSA,N,
DIOLINOIR,N,
GAMARET,N,
GARANOIR,N,
MORONE,N,
NER D'ALA,N,
ROUSSIN,N,
VUILLERMIN,N,
UVA LONGANESI,N,
OSELETA,N,
GLERA LUNGA,B,"GLERA, SERPRINO "
LAMBRUSCO OLIVA,N,
NEGROAMARO PRECOCE,N,
NASCETTA,B,
MALVASIA NERA LUNGA,N,
SPERGOLA,B,
CASAVECCHIA,N,
SENNEN,N,
GOSEN,N,
GOLDTRAMINER,B,
CASETTA,N,
UVALINO,N,
PUGNITELLO,N,
TINTILIA,N,
BECUET,N,
ROSSESE BIANCO,B,
MANZONI MOSCATO,N,INCROCIO MANZONI 13.0.25
MANZONI ROSA Rs.,,INCROCIO MANZONI 1-50
SCIMISCIA',B,
CENTESIMINO,N,
CHATUS,N,
GROPPELLO DI REVO,N,
PALLAGRELLO BIANCO,B,
PALLAGRELLO NERO,N,
FENILE,B,
GINESTRA,B,
PEPELLA,B,
RIPOLO,B,
TRONTO,N,
CIVIDIN,B,
MONDEUSE,N,
CJANORIE,N,
CHENIN,B,
MORADELLA,N,
FOGARINA,N,
PERLA DEI VIVI,N,
TERMARINA,N,
ZWEIGELT,N,
ORPICCHIO,B,
CATALANESCA,B,
LAGARINO,B,
MERLESE,N,
VERDEALBARA,B,(418) ERBAMAT
PETIT MANSENG,B,
GAMBA ROSSA,N,IMPERATRICE DALLA GAMBA ROSSA
LAMBRUSCO BARGHI,N,
CAVRARA,N,
CORBINA,N,CORBINELLA
GRAPARIOL,B,
MARZEMINA GROSSA,N,MARZEMINA BASTARDA
RECANTINA,N,
TURCHETTA,N,
SLARINA,N,
SANFORTE,N,
BARATUCIAT,B,
CORDENOSSA,N,
VERNACCIA NERA GROSSA,N,
BRONNER,B,
CAPOLONGO,B,
ERBAMAT,B,(401) VERDEALBARA B.
ERBANNO,N,(224) SCHIAVA N.
FAMOSO,B,
LECINARO,N,
MAIOLINA,N,
MAOR,B,
MATURANO,B,
MOSCATO OTTONEL,B,
PAMPANARO,B,
PAOLINA,B,
REGENT,N,
ROSCIOLA Rs.,,
ROVIELLO,B,
RUGGINE,B,
RUZZESE,B,
SERBINA,N,(246) TURCA N.
TREBBIANINA,B,
UVA DEL FANTINI,N,
UVA DEL TUNDE',N,
VERNACCINA,B,
VERUCCESE,N,
CELTICA,B,
GRATENA,N,(110) INCROCIO TERZI N.1 N.
MORNASCA,N,
PLINIANA,N,
ROSSONE,N,
TINTORE,N,
VIRGILIO,B,
ANTINELLO,B,
CORNACCHIA,N,
GRERO,N,Grero
INCROCIO MANZONI 2-14,N,
INCROCIO MANZONI 2-3,B,
LAMBRUSCO BENETTI,N,
LANZESA,B,
MARCHIONE,B,
MARESCO,B,
MINUTOLO,B,
PELAGOS,N,
SAINT LAURENT,N,
SCARSAFOGLIA,B,
SOMARELLO ROSSO,N,
DORONA,B,(276) Incrocio Bianco FEDIT 51 C.S.G. B.
GRUAJA,N,
MALVASIA MOSCATA,B,
GAROFANATA,B,
GRADO',B,
CABERNET CARBON,N,
CABERNET CORTIS,N,
GUARNACCINO,N,
HELIOS,B,
JOHANNITER,B,
PRIOR,N,
SOLARIS,B,
SPIGAMONTI,N,
BIANCACCIA,B,
GRAPPELLO RUBERTI,N,Lambrusco viadanese
ROSSETTA DI MONTAGNA Rs.,,
ALBARINO,B,
ARINARNOA,N,
CESENESE NERO,N,
FUMAT,N,
IASMA ECO 1,N,
IASMA ECO 2,N,
IASMA ECO 3,B,
IASMA ECO 4,B,
IRSAI OLIVER,B,
MARSELAN,N,
PALAVA,B,
REFOSCO BIANCO,B,
SAGRESTANA,B,
VERDEJO,B,
BELLAGNA,N,UVA CAGNA
BRAGAT ROSA,N,
CABRUSINA,N,
CAPRETTONE,B,
MANTONICO BIANCO,B,
MUSCARIS,B,
SOUVIGNIER GRIS,B,
FLEURTAI,B,UD-34.111
JULIUS,N,UD-36.030
MONTANERA,N,
SORELI,B,UD-34.113
ALVAREGA,B,
ARGU MANNU,B,
BIAN VER,B,VERDESSE B.
BIANCA REMUNGIA,B,
BLATTERLE,B,
CODRONISCA,B,
CRANACCIA ARUSSA,B,
CUCCUAU,B,
FIUDEDDA,N,
CABERNET EIDOS,N,UD-58.083
CABERNET VOLOS,N,UD-32.078
MERLOT KANTHUS,N,UD-31.122
MERLOT KHORUS,N,UD-31.125
SAUVIGNON KRETOS,B,UD-76.026
SAUVIGNON NEPIS,B,UD-55.098
SAUVIGNON RYTOS,B,UD-55.100
GRAND NOIR,N,
MOURVEDRE,N,Monastrell
ALBANA ROSA Rs.,,
FESTASIO,N,
LAMBRUSCO DEL PELLEGRINO,N,
MERERA,N,
PASSERETTA,B,
MORELLONE,N,
NEGRONE,N,
MALVASIA CASALINI,B,
MOSCATO D AMBURGO,N,
NOCCHIANELLO BIANCO,B,
NOCCHIANELLO NERO,N,
TINTORIA,N,
FRAUELER,B,
FURNER,N,
GRALIMA,N,
GREGU NIEDDU,N,
INZOLIA NERA,N,
LICRONAXU,B,
LISEIRET,B,
LUCIGNOLA,N,
MARA BIANCA,B,
MEDRULINU,N,
NERA DEL PONTE,N,
NIEDDA CARTA,N,
ORISI,N,
RECUNU,B,
SALUDA E PASSA,N,
SELEZIONE VEDELE,B,
USIRIOTO,N,
VERSOALEN,B,
VITRAROLO,N,
ANIGA BRAGIA,B,
BIANCA ADDOSA,B,
COLATAMURRO,N,
DORONADU,B,
ELMO,N,
FURCINA,B,
GIOSANA,B,
LICRONAXU ROSA Rs.,,
MOSCIANELLO,B,
NIGHEDDU POLCHINU,N,
NURAGUS ARRUBIU Rs.,,
PANSALE,B,
PLAVINA,N,
POLOSKEI MUSKOTALY,B,
PROCU NIEDDU,N,
RONDINELLA Rs.,,
ROSONADU Rs.,,
SANTA SOFIA,B,
SCHIOPPETTA,B,
SGRANARELLA,B,
SINNIDANU,B,
CIGLIOLA BIANCA,B,UVA ATTINA
SANTA TERESA,B,
BIONDELLO,B,
CARRIERI,B,
BRETTIO NERO,N,
KERSUS,B,
PINOT ISKRA,B,
VOLTURNIS,N,
PINOT KORS,N,
PINOT REGINA,N,
MATURANO NERO,N,
UVA GIULIA,N,
RECALDINA,N,
PECOLO SCURO,N,
CABERNET BLANC,B,
CABERTIN,N,
PINOTIN,N,
TERMANTIS,N,F22P09 N.
NERMANTIS,N,F22P10 N.
CHARVIR,B,F23P65 B.
VALNOSIA,B,F26P92 B.
GRECARESE,N,
LAGARIO,N,
MORETTO GROSSO,N,
NEGRELLONE,N,
PALMA,B,
RANCHELLA,N,
RASPATO NERO,N,
REALE BIANCA,B,
SEVAR,N,
SORANTONIO,N,
PERLA DI CSABA,B,
MAGLIOCCO DOLCE,N,"(143) MARSIGLIANA N., (099) GRECO NERO N., ARVINO."
BENEDINA,N,
BIGOLONA,B,
CAMAIOLA,N,
MATTARELLA,B,
RABOSA BIANCA,B,
GHIANDARA,B,GHIANNARA
GNOCA,N,
ZIMELLONE BIANCO,B,SIROCCHIA
CAVECIA,B,
RUSSIOLA,N,
CODA DI PECORA BIANCA,,
ROSSELLA,,
ROUSSI,,
ALFROCHEIRO,,
ARINTO,,
ASSYRTIKO,,
BASTARDO,,
CASTELAO,,
FERNAO PIRES,,
FERNAO  PIRES,,
GODELLO,,
LOUREIRO,,
MACABEO,,
MOSCHOMAVRO,,
PATTARESCA,,
TOURIGA NACIONAL,,
VIOSINHO,,
XINOMAVRO,,
AGOSTINA,,
CASTAGNARA,,
CASSINA,,
INGANNAPASTORE,,
SABATO,,
SUPPEZZA,,
TENNECCHIA,,
UVA URMO,,
NERO ANTICO,,
COCOZZA,,
REGINELLA,,
RACINA PICCOLA,,
VODORIN,,
